FID,OBJECTID,timestamp,long,lat,accelerati,accelera1,accelera2,activity_c,comments,external_t,satellite_,speed,gsm_signal,height,import_mar,tag_voltag,sensor_typ,individual,tag_ident,ind_ident,study_name,date,time,Veg,OBJECTID_1,NVCSName,NVCSLevel,MapClass,MapClassCo,Original_2,Original_1,Cov_2015,Dist_2015,Ht_2015,Notes_2015,ID_2015,Habitat,MgmtRegion,Lepidium,CalVegName,CalVegCode,CWHRType,CWHRCode,GlobalRank,StateRank,Rare,CaCode,NVCSAllian,NVCSGroup,NVCSMG,UID,Acres,Hectares,Shape_Leng,Shape_Area
507,1915,2018-11-09 23:00:00,-121.91605,38.110333,0,0,0,0,SIMP02,24,0,0,0,0,0,4150,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8463,Sarcocornia pacifica (Salicornia depressa),Alliance,Salicornia pacifica (Salicornia depressa) Herbaceous Alliance,8111300,Salicornia pacifica (Salicornia depressa) Herbaceous Alliance,361,25-50%,Low,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW,G4,S3,Y,52.215.00,Sarcocornia pacifica (Salicornia depressa),Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA08463,2.03869009,0.825029016,2049.480349,8249.344835
508,2003,2018-11-15 21:00:00,-121.918516,38.11435,0,0,0,0,SIMP02,19,0,0,0,0,0,4150,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8464,Frankenia salina - Distichlis,Association,Frankenia salina - Distichlis spicata Association,8212202,Frankenia salina-Distichlis spicata Association,318,25-50%,Low,0.5-1m, ,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,Y,52.500.04,Frankenia salina,Southwestern North American salt basin and high marsh,Warm Semi-Desert/Mediterranean Alkali-Saline Wetland,SUMA08464,9.166069984,3.709379911,1442.468985,37089.5404
509,1080,2018-08-06 22:00:00,-121.918949,38.122666,0,0,0,0,SIMP02,34,0,0,0,0,0,4120,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8467,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,50-75%,Not evident,2-5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA08467,5.418690205,2.192859888,1198.804747,21926.2616
510,1969,2018-11-13 17:00:00,-121.9587,38.110516,0,0,0,0,SIMP02,12,0,0,0,0,0,4130,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8498,Sarcocornia pacifica (Salicornia depressa),Alliance,Salicornia pacifica (Salicornia depressa) Herbaceous Alliance,8111300,Salicornia pacifica (Salicornia depressa) Herbaceous Alliance,361,10-25%,Medium,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW,G4,S3,Y,52.215.00,Sarcocornia pacifica (Salicornia depressa),Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA08498,6.043039799,2.445529938,1543.371847,24452.4714
511,1934,2018-11-11 03:00:00,-121.9109,38.1137,0,0,0,0,SIMP02,20,0,0,0,0,0,4120,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8517,"Typha (angustifolia, domingensis, latifolia)",Alliance,"Typha (angustifolia, latifolia, domingensis) Herbaceous Alliance",7111100,"Typha (angustifolia, latifolia, domingensis) (dead stalks) mu",125,10-25%,Not evident,2-5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S5,N,52.050.00,"Typha (angustifolia, domingensis, latifolia)",Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA08517,0.267753989,0.108355999,215.9023754,1083.441288
512,1589,2018-10-06 20:00:00,-121.9553,38.115833,0,0,0,0,SIMP02,30,0,0,0,0,0,4130,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8535,Distichlis spicata - Sarcocornia pacifica,Association,Distichlis spicata - Salicornia pacifica Association,8111205,Distichlis spicata-Salicornia pacifica Association,148,25-50%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,Y,41.200.20,Distichlis spicata,Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA08535,0.867438018,0.351040006,593.7331291,3510.002013
513,1590,2018-10-06 21:00:00,-121.955266,38.1158,0,0,0,0,SIMP02,28,0,0,0,0,0,4140,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8535,Distichlis spicata - Sarcocornia pacifica,Association,Distichlis spicata - Salicornia pacifica Association,8111205,Distichlis spicata-Salicornia pacifica Association,148,25-50%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,Y,41.200.20,Distichlis spicata,Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA08535,0.867438018,0.351040006,593.7331291,3510.002013
514,740,2018-07-06 02:00:00,-121.928516,38.1077,0,0,0,0,SIMP02,29,0,0,0,0,0,4130,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8556,Rosa californica - Baccharis pilularis,Association,Rosa californica - Baccharis pilularis Association,2122202,Rosa californica-Baccharis pilularis Association,605,50-75%,Not evident,1-2m, ,Photo interpretation,Leveed (not tidal),4,Absent,Riparian Mixed Shrub,NM,Valley Foothill Riparian,VRI, , ,Y,63.907.01,Rosa californica,Southwestern North American riparian/wash scrub,"Southwestern North American Riparian, Flooded and Swamp Forest",SUMA08556,1.346560001,0.544933021,716.1871368,5448.691714
515,929,2018-07-20 00:00:00,-121.929716,38.108283,0,0,0,0,SIMP02,31,0,0,0,0,0,4140,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8556,Rosa californica - Baccharis pilularis,Association,Rosa californica - Baccharis pilularis Association,2122202,Rosa californica-Baccharis pilularis Association,605,50-75%,Not evident,1-2m, ,Photo interpretation,Leveed (not tidal),4,Absent,Riparian Mixed Shrub,NM,Valley Foothill Riparian,VRI, , ,Y,63.907.01,Rosa californica,Southwestern North American riparian/wash scrub,"Southwestern North American Riparian, Flooded and Swamp Forest",SUMA08556,1.346560001,0.544933021,716.1871368,5448.691714
516,941,2018-07-20 21:07:00,-121.930116,38.108366,0,0,0,0,SIMP02,32,0,0,0,0,0,4110,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8556,Rosa californica - Baccharis pilularis,Association,Rosa californica - Baccharis pilularis Association,2122202,Rosa californica-Baccharis pilularis Association,605,50-75%,Not evident,1-2m, ,Photo interpretation,Leveed (not tidal),4,Absent,Riparian Mixed Shrub,NM,Valley Foothill Riparian,VRI, , ,Y,63.907.01,Rosa californica,Southwestern North American riparian/wash scrub,"Southwestern North American Riparian, Flooded and Swamp Forest",SUMA08556,1.346560001,0.544933021,716.1871368,5448.691714
517,881,2018-07-16 18:00:00,-121.928899,38.1054,0,0,0,0,SIMP02,26,0,0,0,0,0,4150,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8559,Mediterranean California Naturalized Annual and Perennial Grassland,Group,Mediterranean California Naturalized Annual and Perennial Grassland Group,4111000,Mediterranean CA naturalized annual and perennial grassland Group,227,50-75%,Not evident,1-2m,Conium/Lepidium,Photo interpretation,Leveed (not tidal),4,Absent,Annual Grasses and Forbs,HG,Annual Grassland,AGS, , , , , ,Mediterranean California naturalized annual and perennial grassland,California Annual and Perennial Grassland,SUMA08559,0.479606986,0.194089994,382.1234161,1940.669985
518,1154,2018-08-16 00:00:00,-121.930466,38.1052,0,0,0,0,SIMP02,26,0,0,0,0,0,4120,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8561,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,50-75%,Not evident,2-5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA08561,0.052086301,0.0210786,61.61684633,210.760727
519,871,2018-07-16 00:00:00,-121.931432,38.105483,0,0,0,0,SIMP02,29,0,0,0,0,0,4130,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8562,Barren, ,Bare Ground Mapping Unit,1,Bare Ground mu,1,<2%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Barren,BA,Barren,BAR, , , , , , , ,SUMA08562,1.030380011,0.416979015,562.3167716,4169.292632
520,916,2018-07-18 23:07:00,-121.931316,38.1054,0,0,0,0,SIMP02,34,0,0,0,0,0,4180,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8562,Barren, ,Bare Ground Mapping Unit,1,Bare Ground mu,1,<2%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Barren,BA,Barren,BAR, , , , , , , ,SUMA08562,1.030380011,0.416979015,562.3167716,4169.292632
521,966,2018-07-22 22:00:00,-121.931182,38.105416,0,0,0,0,SIMP02,43,0,0,0,0,0,4140,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8562,Barren, ,Bare Ground Mapping Unit,1,Bare Ground mu,1,<2%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Barren,BA,Barren,BAR, , , , , , , ,SUMA08562,1.030380011,0.416979015,562.3167716,4169.292632
522,992,2018-07-25 01:02:00,-121.931282,38.10535,0,0,0,0,SIMP02,29,0,0,0,0,0,4120,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8562,Barren, ,Bare Ground Mapping Unit,1,Bare Ground mu,1,<2%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Barren,BA,Barren,BAR, , , , , , , ,SUMA08562,1.030380011,0.416979015,562.3167716,4169.292632
523,1099,2018-08-09 21:00:00,-121.931682,38.104816,0,0,0,0,SIMP02,49,0,0,0,0,0,4120,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8562,Barren, ,Bare Ground Mapping Unit,1,Bare Ground mu,1,<2%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Barren,BA,Barren,BAR, , , , , , , ,SUMA08562,1.030380011,0.416979015,562.3167716,4169.292632
524,1109,2018-08-10 13:02:00,-121.931699,38.104783,0,0,0,0,SIMP02,15,0,0,0,0,0,3960,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8562,Barren, ,Bare Ground Mapping Unit,1,Bare Ground mu,1,<2%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Barren,BA,Barren,BAR, , , , , , , ,SUMA08562,1.030380011,0.416979015,562.3167716,4169.292632
525,1116,2018-08-10 23:00:00,-121.931266,38.10525,0,0,0,0,SIMP02,35,0,0,0,0,0,4150,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8562,Barren, ,Bare Ground Mapping Unit,1,Bare Ground mu,1,<2%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Barren,BA,Barren,BAR, , , , , , , ,SUMA08562,1.030380011,0.416979015,562.3167716,4169.292632
526,901,2018-07-17 22:00:00,-121.931616,38.105066,0,0,0,0,SIMP02,39,0,0,0,0,0,4160,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8564,Sarcocornia pacifica Tidal,Association,Salicornia pacifica Association,8111301,Salicornia pacifica Association,346,50-75%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,Y,52.215.05,Sarcocornia pacifica (Salicornia depressa),Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA08564,0.501914024,0.203116998,235.2311894,2030.930149
527,921,2018-07-19 16:00:00,-121.931649,38.105366,0,0,0,0,SIMP02,36,0,0,0,0,0,4120,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8564,Sarcocornia pacifica Tidal,Association,Salicornia pacifica Association,8111301,Salicornia pacifica Association,346,50-75%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,Y,52.215.05,Sarcocornia pacifica (Salicornia depressa),Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA08564,0.501914024,0.203116998,235.2311894,2030.930149
528,930,2018-07-20 01:00:00,-121.931682,38.1052,0,0,0,0,SIMP02,28,0,0,0,0,0,4140,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8564,Sarcocornia pacifica Tidal,Association,Salicornia pacifica Association,8111301,Salicornia pacifica Association,346,50-75%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,Y,52.215.05,Sarcocornia pacifica (Salicornia depressa),Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA08564,0.501914024,0.203116998,235.2311894,2030.930149
529,812,2018-07-10 23:00:00,-121.931399,38.105816,0,0,0,0,SIMP02,33,0,0,0,0,0,4170,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8565,Sarcocornia pacifica Tidal,Association,Salicornia pacifica Association,8111301,Salicornia pacifica Association,346,50-75%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,Y,52.215.05,Sarcocornia pacifica (Salicornia depressa),Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA08565,1.163349986,0.470793009,451.2122116,4707.365435
530,836,2018-07-12 22:00:00,-121.931116,38.10545,0,0,0,0,SIMP02,38,0,0,0,0,0,4140,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8565,Sarcocornia pacifica Tidal,Association,Salicornia pacifica Association,8111301,Salicornia pacifica Association,346,50-75%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,Y,52.215.05,Sarcocornia pacifica (Salicornia depressa),Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA08565,1.163349986,0.470793009,451.2122116,4707.365435
531,889,2018-07-17 02:00:00,-121.931082,38.105383,0,0,0,0,SIMP02,26,0,0,0,0,0,4130,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8565,Sarcocornia pacifica Tidal,Association,Salicornia pacifica Association,8111301,Salicornia pacifica Association,346,50-75%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,Y,52.215.05,Sarcocornia pacifica (Salicornia depressa),Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA08565,1.163349986,0.470793009,451.2122116,4707.365435
532,902,2018-07-17 23:00:00,-121.930866,38.10535,0,0,0,0,SIMP02,33,0,0,0,0,0,4160,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8565,Sarcocornia pacifica Tidal,Association,Salicornia pacifica Association,8111301,Salicornia pacifica Association,346,50-75%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,Y,52.215.05,Sarcocornia pacifica (Salicornia depressa),Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA08565,1.163349986,0.470793009,451.2122116,4707.365435
533,917,2018-07-19 00:00:00,-121.930782,38.105333,0,0,0,0,SIMP02,30,0,0,0,0,0,4180,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8565,Sarcocornia pacifica Tidal,Association,Salicornia pacifica Association,8111301,Salicornia pacifica Association,346,50-75%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,Y,52.215.05,Sarcocornia pacifica (Salicornia depressa),Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA08565,1.163349986,0.470793009,451.2122116,4707.365435
534,942,2018-07-20 22:00:00,-121.930732,38.105333,0,0,0,0,SIMP02,39,0,0,0,0,0,4110,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8565,Sarcocornia pacifica Tidal,Association,Salicornia pacifica Association,8111301,Salicornia pacifica Association,346,50-75%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,Y,52.215.05,Sarcocornia pacifica (Salicornia depressa),Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA08565,1.163349986,0.470793009,451.2122116,4707.365435
535,827,2018-07-12 01:00:00,-121.929682,38.104583,0,0,0,0,SIMP02,36,0,0,0,0,0,4100,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8566,Sarcocornia pacifica Tidal,Association,Salicornia pacifica Association,8111301,Salicornia pacifica Association,346,10-25%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,Y,52.215.05,Sarcocornia pacifica (Salicornia depressa),Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA08566,1.140740037,0.461641997,739.6388253,4615.87061
536,849,2018-07-13 23:00:00,-121.929632,38.104666,0,0,0,0,SIMP02,40,0,0,0,0,0,4140,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8566,Sarcocornia pacifica Tidal,Association,Salicornia pacifica Association,8111301,Salicornia pacifica Association,346,10-25%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,Y,52.215.05,Sarcocornia pacifica (Salicornia depressa),Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA08566,1.140740037,0.461641997,739.6388253,4615.87061
537,844,2018-07-13 18:00:00,-121.931099,38.104816,0,0,0,0,SIMP02,29,0,0,0,0,0,4140,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8567,Sarcocornia pacifica Tidal,Association,Salicornia pacifica Association,8111301,Salicornia pacifica Association,346,50-75%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,Y,52.215.05,Sarcocornia pacifica (Salicornia depressa),Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA08567,1.670269966,0.675934017,807.3618924,6758.52738
538,939,2018-07-20 19:00:00,-121.931232,38.104766,0,0,0,0,SIMP02,46,0,0,0,0,0,4120,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8567,Sarcocornia pacifica Tidal,Association,Salicornia pacifica Association,8111301,Salicornia pacifica Association,346,50-75%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,Y,52.215.05,Sarcocornia pacifica (Salicornia depressa),Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA08567,1.670269966,0.675934017,807.3618924,6758.52738
539,956,2018-07-22 01:00:00,-121.931116,38.10485,0,0,0,0,SIMP02,31,0,0,0,0,0,4160,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8567,Sarcocornia pacifica Tidal,Association,Salicornia pacifica Association,8111301,Salicornia pacifica Association,346,50-75%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,Y,52.215.05,Sarcocornia pacifica (Salicornia depressa),Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA08567,1.670269966,0.675934017,807.3618924,6758.52738
540,964,2018-07-22 20:00:00,-121.930299,38.104283,0,0,0,0,SIMP02,40,0,0,0,0,0,4140,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8567,Sarcocornia pacifica Tidal,Association,Salicornia pacifica Association,8111301,Salicornia pacifica Association,346,50-75%,Not evident,<0.5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,Y,52.215.05,Sarcocornia pacifica (Salicornia depressa),Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA08567,1.670269966,0.675934017,807.3618924,6758.52738
541,1842,2018-10-30 22:00:00,-121.918166,38.122882,0,0,0,0,SIMP02,24,0,0,0,0,0,4120,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8644,Distichlis spicata - annual grasses,Association,Distichlis spicata - Annual grasses Association,8111202,Distichlis spicata-Annual grasses Association,142,25-50%,Not evident,0.5-1m,Incl submmu Frankenia,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,N,41.200.13,Distichlis spicata,Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA08644,2.845069885,1.151360035,647.2245355,11512.33246
542,1850,2018-10-31 19:00:00,-121.91225,38.113466,0,0,0,0,SIMP02,29,0,0,0,0,0,4130,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8677,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,>75%,Not evident,2-5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA08677,0.053465899,0.0216369,72.27149886,216.3449516
543,1810,2018-10-27 23:00:00,-121.914733,38.113183,0,0,0,0,SIMP02,27,0,0,0,0,0,4130,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8682,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Not evident,2-5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA08682,0.347308993,0.140551001,257.7840211,1405.347944
544,1000,2018-07-25 23:00:00,-121.918216,38.11255,0,0,0,0,SIMP02,34,0,0,0,0,0,4130,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8687,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,50-75%,Not evident,2-5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA08687,3.980449915,1.610829949,801.4927714,16106.45788
545,1768,2018-10-23 16:00:00,-121.917816,38.112433,0,0,0,0,SIMP02,17,0,0,0,0,0,4080,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8687,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,50-75%,Not evident,2-5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA08687,3.980449915,1.610829949,801.4927714,16106.45788
546,1812,2018-10-28 01:00:00,-121.918266,38.112816,0,0,0,0,SIMP02,20,0,0,0,0,0,4130,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8687,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,50-75%,Not evident,2-5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA08687,3.980449915,1.610829949,801.4927714,16106.45788
547,1914,2018-11-09 22:00:00,-121.917866,38.112533,0,0,0,0,SIMP02,22,0,0,0,0,0,4150,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,8687,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,50-75%,Not evident,2-5m, ,Photo interpretation,Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA08687,3.980449915,1.610829949,801.4927714,16106.45788
